Generation,Fitness,R2,Complexity,Equation
45,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
46,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
47,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
48,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
49,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
50,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
51,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
52,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
53,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
54,1.1660183467297994e-07,0.999977110425537,19,1.86235095689167*theta**2*exp(-2.21464477826679*theta)*log((6.19871698751602 - theta)/log(-4.91549156974891*theta))
55,1.1659445151235144e-07,0.9999771060226416,22,theta**2*exp(-2.21499521315608*theta)*log((6.20034606653886 - theta)/log(-4.9164950723628*theta))/cos((0.865171883727227 + I*pi)**2)**2
56,1.1659012309876936e-07,0.9999771057440217,22,theta**2*exp(-2.21503811355037*theta)*log((6.20033871708825 - theta)/log(-4.9154952468254*theta))/cos((0.865153792206925 + I*pi)**2)**2
