record_type,equation,noise,trial,mode,condition,gen,fitness,avg_fit,r2,complexity,solved,best_found,wall_time_s
gen_log,I.6.2b,0.0,0,hybrid,hybrid,34,0.00013989790666141158,0.0004726280754464415,-3.909233557148596,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 1.16127496612765e-379)))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,35,0.00013593621626712,0.0011132783431420572,-3.909233557148596,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 1.27228418561056e-379*sin((sigma - theta1)**2))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,36,0.00013593621626712,0.0003832432785746827,-3.909233557148596,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 1.27228418561056e-379*sin((sigma - theta1)**2))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,37,0.00013570715917124646,0.00037446708504521443,-3.909233557148596,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 1.27228418561056e-379*sin((sigma - theta1)**2))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,38,0.00013570715917124646,0.00041278345403575106,-3.909233557148596,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 1.27228418561056e-379*sin((sigma - theta1)**2))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,39,0.00013539993360998305,0.0004459136400199764,-3.909233557148596,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 1.27228418561056e-379*sin(sqrt(log(theta))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,40,0.00011647868201007189,0.00025768363046081667,-3.906671221002961,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - cos(log(theta1)**2)/((theta + 26.1216527975988)**2 + 2.83590888431366e-65))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,41,0.00010650387155874113,0.0003598071596938466,-2.4811544238218484,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sin(sqrt(log(theta))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,42,0.00010650387155874113,0.0004133779597852525,-2.4811544238218484,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sin(sqrt(log(theta))))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,43,0.00010187990028548163,0.0009186274935621195,-2.4781757305485566,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sin(sqrt(log(theta))) - cos(log(theta1)**2)/((theta + 26.1216527975988)**2 + 2.83590888431366e-65))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,44,9.640195710115303e-05,0.000340275621565583,-2.4781757305485566,,,0.707785721722826*sqrt(I)*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sin(sqrt(log(theta))) - cos(log(theta1)**2)/((theta + 26.1216527975988)**2 + 2.83590888431366e-65))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,45,9.662339342432578e-05,0.0009581610002954433,0.7922955826011675,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(0.912748094538613 - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*sin(sqrt(log(theta))))))**2/sigma**3,
