record_type,equation,noise,trial,mode,condition,gen,fitness,avg_fit,r2,complexity,solved,best_found,wall_time_s
gen_log,I.29.16,0.01,0,hybrid,hybrid,29,0.33789039597647946,0.4070746687939446,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,30,0.33789039597647946,0.5534690108736988,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,31,0.33789039597647946,0.41915619848468655,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,32,0.33789039597647946,0.6323609688660782,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,33,0.33789039597647946,0.5084181935575663,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,34,0.33789039597647946,0.42176697648138256,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,35,0.33789039597647946,0.5061556160241973,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,36,0.33789039597647946,0.4059124134459323,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,37,0.33789039597647946,0.4278866107936752,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,38,0.33789039597647946,0.4232114014112049,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
